,0
0,Luiz_Inacio_Lula_da_Silva
1,Jacques_Chirac
2,Amelie_Mauresmo
3,Naomi_Watts
4,Ricardo_Lagos
5,Serena_Williams
6,Jennifer_Capriati
7,Vicente_Fox
8,Paul_Bremer
9,Juan_Carlos_Ferrero
10,Megawati_Sukarnoputri
11,Alejandro_Toledo
12,Pete_Sampras
13,Hans_Blix
14,Winona_Ryder
15,Mahmoud_Abbas
16,Alvaro_Uribe
17,Lindsay_Davenport
18,Jiang_Zemin
19,George_Robertson
20,Junichiro_Koizumi
21,David_Beckham
22,Jennifer_Lopez
23,Carlos_Menem
24,Lleyton_Hewitt
25,Jack_Straw
26,Igor_Ivanov
27,Recep_Tayyip_Erdogan
28,Gloria_Macapagal_Arroyo
29,Kofi_Annan
30,Ariel_Sharon
31,Guillermo_Coria
32,John_Ashcroft
33,Vladimir_Putin
34,Jean_Chretien
35,Jeremy_Greenstock
36,Saddam_Hussein
37,Rudolph_Giuliani
38,Roh_Moo-hyun
39,John_Negroponte
40,Tom_Ridge
41,Tom_Daschle
42,Jose_Maria_Aznar
43,Hugo_Chavez
44,Andre_Agassi
45,Bill_Clinton
46,Gray_Davis
47,Nestor_Kirchner
48,Arnold_Schwarzenegger
49,Tiger_Woods
